Year,Area FIPS Code,Group Code,State,Group,Age,Race,Civilian non-institutional population,Civilian labor force,Civilian labor force Percent of population,Employment Number,Employment Percent of population,Unemployment Number,Unemployment Rate
2015,24,7,Maryland,Black or African American,Total,Black,"1,390",906,65.2,831,59.8,75,8.3
2015,24,13,Maryland,Hispanic or Latino ethnicity,Total,Hispanic,341,262,76.9,248,72.7,14,5.4
2015,25,1,Massachusetts,Total,Total,Total,"5,493","3,586",65.3,"3,410",62.1,176,4.9
2015,25,4,Massachusetts,White,Total,White,"4,588","3,008",65.6,"2,877",62.7,132,4.4
2015,25,7,Massachusetts,Black or African American,Total,Black,429,287,67.1,257,60,30,10.6
2015,25,13,Massachusetts,Hispanic or Latino ethnicity,Total,Hispanic,504,314,62.2,279,55.4,34,11
2015,26,1,Michigan,Total,Total,Total,"7,882","4,763",60.4,"4,505",57.2,258,5.4
2015,26,4,Michigan,White,Total,White,"6,436","3,948",61.3,"3,772",58.6,176,4.5
2015,26,7,Michigan,Black or African American,Total,Black,"1,056",557,52.8,493,46.6,65,11.6
2015,26,13,Michigan,Hispanic or Latino ethnicity,Total,Hispanic,368,258,70.1,236,64.1,22,8.6
2015,27,1,Minnesota,Total,Total,Total,"4,292","3,024",70.5,"2,909",67.8,115,3.8
2015,27,4,Minnesota,White,Total,White,"3,740","2,657",71,"2,579",69,78,2.9
2015,27,7,Minnesota,Black or African American,Total,Black,232,150,64.9,129,55.7,21,14.1
2015,27,13,Minnesota,Hispanic or Latino ethnicity,Total,Hispanic,210,160,76.2,154,73.3,6,3.8
2015,28,1,Mississippi,Total,Total,Total,"2,283","1,281",56.1,"1,199",52.5,83,6.5
2015,28,4,Mississippi,White,Total,White,"1,412",791,56,754,53.4,37,4.7
2015,28,7,Mississippi,Black or African American,Total,Black,819,462,56.4,419,51.1,43,9.4
2015,28,13,Mississippi,Hispanic or Latino ethnicity,Total,Hispanic,53,34,63.6,32,60.1,2,5.4
2015,29,1,Missouri,Total,Total,Total,"4,748","3,107",65.4,"2,951",62.2,156,5
2015,29,4,Missouri,White,Total,White,"4,027","2,626",65.2,"2,510",62.3,116,4.4
2015,29,7,Missouri,Black or African American,Total,Black,518,340,65.6,306,59.1,34,10
2015,29,13,Missouri,Hispanic or Latino ethnicity,Total,Hispanic,152,109,71.9,103,68,6,5.5
2015,30,1,Montana,Total,Total,Total,815,523,64.1,501,61.5,21,4.1
2015,30,4,Montana,White,Total,White,764,491,64.2,473,61.9,18,3.7
2015,30,13,Montana,Hispanic or Latino ethnicity,Total,Hispanic,21,15,69.2,14,65.6,1,5.2
2015,31,1,Nebraska,Total,Total,Total,"1,446",999,69.1,969,67,30,3
2015,31,4,Nebraska,White,Total,White,"1,304",908,69.6,884,67.8,24,2.6
2015,31,7,Nebraska,Black or African American,Total,Black,60,42,70,40,66.3,2,5.3
2015,31,13,Nebraska,Hispanic or Latino ethnicity,Total,Hispanic,135,102,75.1,96,71.3,5,5
2015,32,1,Nevada,Total,Total,Total,"2,247","1,429",63.6,"1,331",59.2,98,6.9
2015,32,4,Nevada,White,Total,White,"1,684","1,063",63.1,998,59.3,65,6.1
2015,32,7,Nevada,Black or African American,Total,Black,178,113,63.4,98,54.9,15,13.5
2015,32,13,Nevada,Hispanic or Latino ethnicity,Total,Hispanic,571,417,73,384,67.2,33,8
2015,33,1,New Hampshire,Total,Total,Total,"1,085",743,68.4,717,66,26,3.4
2015,33,4,New Hampshire,White,Total,White,"1,027",702,68.4,678,66,25,3.5
2015,33,7,New Hampshire,Black or African American,Total,Black,14,10,70.7,9,64.5,1,8.6
2015,33,13,New Hampshire,Hispanic or Latino ethnicity,Total,Hispanic,29,22,76.4,21,72.5,1,5.3
2015,34,1,New Jersey,Total,Total,Total,"7,105","4,545",64,"4,281",60.2,264,5.8
2015,34,4,New Jersey,White,Total,White,"5,334","3,418",64.1,"3,242",60.8,176,5.2
2015,34,7,New Jersey,Black or African American,Total,Black,"1,007",631,62.6,568,56.4,63,10
2015,34,13,New Jersey,Hispanic or Latino ethnicity,Total,Hispanic,"1,208",822,68,759,62.8,63,7.6
2015,35,1,New Mexico,Total,Total,Total,"1,603",924,57.6,861,53.7,63,6.8
2015,35,4,New Mexico,White,Total,White,"1,261",740,58.7,698,55.4,42,5.7
2015,35,7,New Mexico,Black or African American,Total,Black,42,27,64.5,25,60.3,2,6.5
2015,35,13,New Mexico,Hispanic or Latino ethnicity,Total,Hispanic,658,406,61.8,381,57.9,26,6.4
2015,36,1,New York,Total,Total,Total,"15,853","9,672",61,"9,160",57.8,512,5.3
2015,36,4,New York,White,Total,White,"11,310","6,951",61.5,"6,636",58.7,315,4.5
2015,36,7,New York,Black or African American,Total,Black,"2,675","1,601",59.9,"1,471",55,131,8.2
2015,36,13,New York,Hispanic or Latino ethnicity,Total,Hispanic,"2,609","1,603",61.4,"1,496",57.3,107,6.7
2015,37,1,North Carolina,Total,Total,Total,"7,780","4,788",61.5,"4,508",57.9,281,5.9
2015,37,4,North Carolina,White,Total,White,"5,616","3,436",61.2,"3,272",58.3,164,4.8
2015,37,7,North Carolina,Black or African American,Total,Black,"1,664","1,040",62.5,933,56.1,107,10.3
2015,37,13,North Carolina,Hispanic or Latino ethnicity,Total,Hispanic,677,486,71.8,450,66.5,36,7.4
2015,38,1,North Dakota,Total,Total,Total,585,414,70.9,403,68.9,11,2.7
2015,38,4,North Dakota,White,Total,White,534,383,71.8,374,70.1,9,2.4
2015,39,1,Ohio,Total,Total,Total,"9,138","5,692",62.3,"5,413",59.2,279,4.9
2015,39,4,Ohio,White,Total,White,"7,709","4,812",62.4,"4,618",59.9,194,4
2015,39,7,Ohio,Black or African American,Total,Black,"1,076",646,60,575,53.5,71,10.9
2015,39,13,Ohio,Hispanic or Latino ethnicity,Total,Hispanic,252,172,68.2,162,64.2,10,5.8
2015,40,1,Oklahoma,Total,Total,Total,"2,973","1,862",62.6,"1,783",60,80,4.3
2015,40,4,Oklahoma,White,Total,White,"2,364","1,470",62.2,"1,415",59.8,55,3.8
2015,40,7,Oklahoma,Black or African American,Total,Black,198,128,64.3,116,58.7,11,8.8
2015,40,13,Oklahoma,Hispanic or Latino ethnicity,Total,Hispanic,271,189,69.7,180,66.4,9,4.8
2015,41,1,Oregon,Total,Total,Total,"3,206","1,955",61,"1,844",57.5,111,5.7
2015,41,4,Oregon,White,Total,White,"2,860","1,730",60.5,"1,631",57,99,5.7
2015,41,7,Oregon,Black or African American,Total,Black,59,40,67.3,37,62.4,3,7.4
2015,41,13,Oregon,Hispanic or Latino ethnicity,Total,Hispanic,336,236,70.3,221,65.8,15,6.5
2015,42,1,Pennsylvania,Total,Total,Total,"10,248","6,436",62.8,"6,101",59.5,334,5.2
2015,42,4,Pennsylvania,White,Total,White,"8,583","5,434",63.3,"5,192",60.5,243,4.5
2015,42,7,Pennsylvania,Black or African American,Total,Black,"1,087",654,60.2,585,53.9,69,10.5
2015,42,13,Pennsylvania,Hispanic or Latino ethnicity,Total,Hispanic,636,419,65.9,387,60.8,32,7.7
2015,44,1,Rhode Island,Total,Total,Total,857,559,65.3,526,61.4,33,5.9
2015,44,4,Rhode Island,White,Total,White,744,486,65.3,461,61.9,25,5.2
2015,44,7,Rhode Island,Black or African American,Total,Black,61,41,66.2,36,58.2,5,12.2
2015,44,13,Rhode Island,Hispanic or Latino ethnicity,Total,Hispanic,104,74,71,67,64.5,7,9.1
2015,45,1,South Carolina,Total,Total,Total,"3,811","2,287",60,"2,153",56.5,135,5.9
2015,45,4,South Carolina,White,Total,White,"2,700","1,611",59.7,"1,545",57.2,65,4.1
2015,45,7,South Carolina,Black or African American,Total,Black,"1,004",609,60.6,543,54.1,65,10.7
2015,45,13,South Carolina,Hispanic or Latino ethnicity,Total,Hispanic,183,131,71.4,123,67,8,6.2
2015,46,1,South Dakota,Total,Total,Total,654,456,69.7,440,67.3,16,3.5
2015,46,4,South Dakota,White,Total,White,577,407,70.5,398,69,8,2
2015,46,13,South Dakota,Hispanic or Latino ethnicity,Total,Hispanic,15,11,72.8,10,69.7,-1,3.9
2015,47,1,Tennessee,Total,Total,Total,"5,169","3,088",59.7,"2,913",56.4,175,5.7
2015,47,4,Tennessee,White,Total,White,"4,149","2,439",58.8,"2,315",55.8,124,5.1
2015,47,7,Tennessee,Black or African American,Total,Black,834,531,63.7,491,58.9,40,7.5
2015,47,13,Tennessee,Hispanic or Latino ethnicity,Total,Hispanic,244,169,69.3,162,66.5,7,4
2015,48,1,Texas,Total,Total,Total,"20,470","13,010",63.6,"12,434",60.7,576,4.4
2015,48,4,Texas,White,Total,White,"16,405","10,354",63.1,"9,934",60.6,420,4.1
2015,48,7,Texas,Black or African American,Total,Black,"2,487","1,605",64.5,"1,485",59.7,120,7.5
2015,48,13,Texas,Hispanic or Latino ethnicity,Total,Hispanic,"7,195","4,652",64.6,"4,426",61.5,226,4.9
2015,49,1,Utah,Total,Total,Total,"2,140","1,456",68,"1,405",65.6,52,3.6
2015,49,4,Utah,White,Total,White,"2,012","1,369",68.1,"1,320",65.6,49,3.6
2015,49,13,Utah,Hispanic or Latino ethnicity,Total,Hispanic,253,181,71.6,170,67.3,11,6
2015,50,1,Vermont,Total,Total,Total,515,344,66.8,332,64.4,12,3.6
2015,50,4,Vermont,White,Total,White,494,331,67.1,320,64.7,12,3.6
2015,50,13,Vermont,Hispanic or Latino ethnicity,Total,Hispanic,8,6,78.4,6,75.6,-1,3.7
2015,51,1,Virginia,Total,Total,Total,"6,503","4,218",64.9,"4,029",62,189,4.5
2015,51,4,Virginia,White,Total,White,"4,725","3,063",64.8,"2,952",62.5,111,3.6
2015,51,7,Virginia,Black or African American,Total,Black,"1,227",780,63.5,718,58.5,62,7.9
2015,51,13,Virginia,Hispanic or Latino ethnicity,Total,Hispanic,500,373,74.5,350,70.1,22,6
2015,53,1,Washington,Total,Total,Total,"5,595","3,537",63.2,"3,338",59.7,199,5.6
2015,53,4,Washington,White,Total,White,"4,543","2,857",62.9,"2,705",59.5,152,5.3
2015,53,7,Washington,Black or African American,Total,Black,211,138,65.5,126,59.8,12,8.9
2015,53,13,Washington,Hispanic or Latino ethnicity,Total,Hispanic,650,440,67.8,414,63.7,27,6.1
2015,54,1,West Virginia,Total,Total,Total,"1,486",787,53,733,49.3,55,6.9
2015,54,4,West Virginia,White,Total,White,"1,399",738,52.8,688,49.2,50,6.8
2015,54,7,West Virginia,Black or African American,Total,Black,49,28,57.9,25,51.7,3,10.6
2015,54,13,West Virginia,Hispanic or Latino ethnicity,Total,Hispanic,18,11,64.6,11,63.6,-1,2
2015,55,1,Wisconsin,Total,Total,Total,"4,557","3,091",67.8,"2,949",64.7,142,4.6
2015,55,4,Wisconsin,White,Total,White,"4,086","2,767",67.7,"2,654",65,113,4.1
2015,55,7,Wisconsin,Black or African American,Total,Black,254,171,67.2,152,59.8,19,11.1
2015,55,13,Wisconsin,Hispanic or Latino ethnicity,Total,Hispanic,283,200,70.7,187,66,13,6.7
2015,56,1,Wyoming,Total,Total,Total,452,306,67.8,294,65.1,13,4.1
2015,56,4,Wyoming,White,Total,White,426,288,67.7,277,65,11,3.9
2015,56,13,Wyoming,Hispanic or Latino ethnicity,Total,Hispanic,34,25,73.9,24,70.4,1,4.8
2014,1,1,Alabama,Total,Total,Total,"3,786","2,164",57.2,"2,011",53.1,153,7.1
2014,1,4,Alabama,White,Total,White,"2,714","1,563",57.6,"1,481",54.6,82,5.2
2014,1,7,Alabama,Black or African American,Total,Black,963,539,55.9,473,49.1,66,12.2
2014,1,13,Alabama,Hispanic or Latino ethnicity,Total,Hispanic,129,90,70.1,81,63.1,9,10
2014,2,1,Alaska,Total,Total,Total,541,368,68,342,63.2,26,7.1
2014,2,4,Alaska,White,Total,White,385,268,69.6,252,65.6,15,5.7
2014,2,7,Alaska,Black or African American,Total,Black,19,12,67,11,61.1,1,8.8
2014,2,10,Alaska,Asian,Total,Asian,35,24,68.6,23,65.9,1,4
2014,2,13,Alaska,Hispanic or Latino ethnicity,Total,Hispanic,34,25,73.1,22,65.8,2,10
2014,4,1,Arizona,Total,Total,Total,"5,176","3,105",60,"2,888",55.8,217,7
2014,4,4,Arizona,White,Total,White,"4,388","2,634",60,"2,464",56.2,170,6.4
2014,4,7,Arizona,Black or African American,Total,Black,233,142,60.8,134,57.4,8,5.6
2014,4,10,Arizona,Asian,Total,Asian,193,120,62.1,115,59.6,5,4
2014,4,13,Arizona,Hispanic or Latino ethnicity,Total,Hispanic,"1,716","1,062",61.9,974,56.8,88,8.3
2014,5,1,Arkansas,Total,Total,Total,"2,285","1,293",56.6,"1,216",53.2,77,6
2014,5,4,Arkansas,White,Total,White,"1,854","1,055",56.9,997,53.8,57,5.4
2014,5,7,Arkansas,Black or African American,Total,Black,329,182,55.4,164,49.9,18,9.9
2014,5,13,Arkansas,Hispanic or Latino ethnicity,Total,Hispanic,160,109,68.2,103,64.8,5,5
2014,6,1,California,Total,Total,Total,"30,158","18,797",62.3,"17,391",57.7,"1,406",7.5
2014,6,4,California,White,Total,White,"22,378","13,998",62.6,"13,008",58.1,990,7.1
2014,6,7,California,Black or African American,Total,Black,"1,912","1,117",58.4,965,50.5,152,13.6
2014,6,10,California,Asian,Total,Asian,"4,442","2,750",61.9,"2,586",58.2,164,6
2014,6,13,California,Hispanic or Latino ethnicity,Total,Hispanic,"10,553","6,863",65,"6,280",59.5,583,8.5
2014,8,1,Colorado,Total,Total,Total,"4,145","2,822",68.1,"2,683",64.7,139,4.9
2014,8,4,Colorado,White,Total,White,"3,729","2,553",68.5,"2,436",65.3,117,4.6
2014,8,7,Colorado,Black or African American,Total,Black,163,107,65.9,96,58.8,12,10.8
2014,8,10,Colorado,Asian,Total,Asian,129,82,63.6,79,60.9,3,4.2
2014,8,13,Colorado,Hispanic or Latino ethnicity,Total,Hispanic,728,501,68.8,469,64.4,32,6.4
2014,9,1,Connecticut,Total,Total,Total,"2,867","1,893",66,"1,769",61.7,124,6.6
2014,9,4,Connecticut,White,Total,White,"2,387","1,578",66.1,"1,483",62.2,95,6
2014,9,7,Connecticut,Black or African American,Total,Black,305,192,63.1,168,55.2,24,12.5
2014,9,10,Connecticut,Asian,Total,Asian,134,93,69.6,90,67.4,3,3.3
2014,9,13,Connecticut,Hispanic or Latino ethnicity,Total,Hispanic,323,221,68.5,197,61,24,10.9
2014,10,1,Delaware,Total,Total,Total,738,453,61.4,427,57.9,26,5.8
2014,10,4,Delaware,White,Total,White,541,329,60.8,313,57.9,16,4.8
2014,10,7,Delaware,Black or African American,Total,Black,154,97,63.2,88,57.2,9,9.5
2014,10,10,Delaware,Asian,Total,Asian,28,18,62.5,17,60.1,1,3.8
2014,10,13,Delaware,Hispanic or Latino ethnicity,Total,Hispanic,51,36,69.3,32,62.9,3,9.3
2014,11,1,District of Columbia,Total,Total,Total,543,378,69.5,348,64,30,7.8
2014,11,4,District of Columbia,White,Total,White,251,206,82,200,79.6,6,2.9
2014,11,7,District of Columbia,Black or African American,Total,Black,256,144,56.4,122,47.8,22,15.4
2014,11,10,District of Columbia,Asian,Total,Asian,21,16,74.6,15,72.4,-3,3
2014,11,13,District of Columbia,Hispanic or Latino ethnicity,Total,Hispanic,47,38,79.7,36,76.6,1,3.9
2014,12,1,Florida,Total,Total,Total,"15,978","9,680",60.6,"9,073",56.8,606,6.3
2014,12,4,Florida,White,Total,White,"12,853","7,689",59.8,"7,275",56.6,414,5.4
2014,12,7,Florida,Black or African American,Total,Black,"2,430","1,541",63.4,"1,374",56.5,167,10.8
2014,12,10,Florida,Asian,Total,Asian,431,280,65.1,271,62.8,10,3.5
2014,12,13,Florida,Hispanic or Latino ethnicity,Total,Hispanic,"3,548","2,268",63.9,"2,118",59.7,150,6.6
2014,13,1,Georgia,Total,Total,Total,"7,669","4,735",61.7,"4,392",57.3,343,7.2
2014,13,4,Georgia,White,Total,White,"4,835","2,948",61,"2,812",58.2,136,4.6
2014,13,7,Georgia,Black or African American,Total,Black,"2,327","1,480",63.6,"1,297",55.7,184,12.4
2014,13,10,Georgia,Asian,Total,Asian,352,214,60.8,201,57,13,6.2
2014,13,13,Georgia,Hispanic or Latino ethnicity,Total,Hispanic,494,345,69.9,325,65.7,21,6
2014,15,1,Hawaii,Total,Total,Total,"1,084",671,61.9,642,59.2,29,4.4
2014,15,4,Hawaii,White,Total,White,235,141,60.1,135,57.4,7,4.6
2014,15,7,Hawaii,Black or African American,Total,Black,19,13,65.6,11,57.6,2,12.2
2014,15,10,Hawaii,Asian,Total,Asian,480,291,60.6,285,59.3,6,2.2
2014,15,13,Hawaii,Hispanic or Latino ethnicity,Total,Hispanic,86,58,67.4,54,62.9,4,6.7
2014,16,1,Idaho,Total,Total,Total,"1,228",775,63.1,738,60.1,37,4.7
2014,16,4,Idaho,White,Total,White,"1,163",734,63.1,700,60.2,34,4.6
2014,16,13,Idaho,Hispanic or Latino ethnicity,Total,Hispanic,130,94,72.2,86,66.4,8,8.1
2014,17,1,Illinois,Total,Total,Total,"10,053","6,513",64.8,"6,056",60.2,457,7
2014,17,4,Illinois,White,Total,White,"7,982","5,242",65.7,"4,933",61.8,309,5.9
2014,17,7,Illinois,Black or African American,Total,Black,"1,406",837,59.6,716,51,121,14.4
2014,17,10,Illinois,Asian,Total,Asian,507,331,65.2,313,61.7,18,5.3
2014,17,13,Illinois,Hispanic or Latino ethnicity,Total,Hispanic,"1,344",932,69.4,856,63.7,75,8.1
2014,18,1,Indiana,Total,Total,Total,"5,097","3,237",63.5,"3,041",59.7,196,6.1
2014,18,4,Indiana,White,Total,White,"4,507","2,894",64.2,"2,736",60.7,158,5.5
2014,18,7,Indiana,Black or African American,Total,Black,434,253,58.2,220,50.8,32,12.8
2014,18,10,Indiana,Asian,Total,Asian,84,54,63.4,52,61.9,1,2.3
2014,18,13,Indiana,Hispanic or Latino ethnicity,Total,Hispanic,299,213,71.2,195,65.1,18,8.6
2014,19,1,Iowa,Total,Total,Total,"2,420","1,709",70.6,"1,630",67.3,79,4.6
2014,19,4,Iowa,White,Total,White,"2,242","1,582",70.6,"1,513",67.5,69,4.4
2014,19,7,Iowa,Black or African American,Total,Black,66,45,68.5,39,58.8,6,14.1
2014,19,10,Iowa,Asian,Total,Asian,71,55,76.5,53,74.5,1,2.6
2014,19,13,Iowa,Hispanic or Latino ethnicity,Total,Hispanic,102,77,75.6,70,69.2,7,8.5
2014,20,1,Kansas,Total,Total,Total,"2,197","1,502",68.4,"1,434",65.3,68,4.6
2014,20,4,Kansas,White,Total,White,"1,896","1,300",68.5,"1,245",65.7,55,4.2
2014,20,7,Kansas,Black or African American,Total,Black,117,79,67.1,73,62,6,7.6
2014,20,10,Kansas,Asian,Total,Asian,93,63,67.6,60,64.7,3,4.2
2014,20,13,Kansas,Hispanic or Latino ethnicity,Total,Hispanic,191,145,75.8,137,71.7,8,5.5
2014,21,1,Kentucky,Total,Total,Total,"3,425","2,007",58.6,"1,877",54.8,130,6.5
2014,21,4,Kentucky,White,Total,White,"3,050","1,776",58.2,"1,666",54.6,109,6.2
2014,21,7,Kentucky,Black or African American,Total,Black,271,170,62.8,154,56.7,16,9.6
2014,21,10,Kentucky,Asian,Total,Asian,63,34,54.6,33,51.7,2,5.3
2014,21,13,Kentucky,Hispanic or Latino ethnicity,Total,Hispanic,97,66,68.4,61,63.2,5,7.6
2014,22,1,Louisiana,Total,Total,Total,"3,551","2,159",60.8,"2,021",56.9,138,6.4
2014,22,4,Louisiana,White,Total,White,"2,336","1,459",62.5,"1,393",59.6,67,4.6
2014,22,7,Louisiana,Black or African American,Total,Black,"1,083",619,57.2,556,51.3,64,10.3
2014,22,10,Louisiana,Asian,Total,Asian,61,41,66.7,41,66.4,-3,0.5
2014,22,13,Louisiana,Hispanic or Latino ethnicity,Total,Hispanic,165,124,75.4,114,68.9,11,8.5
2014,23,1,Maine,Total,Total,Total,"1,090",696,63.9,656,60.2,40,5.7
2014,23,4,Maine,White,Total,White,"1,044",667,63.9,630,60.4,37,5.5
